,precision,recall,f1-score,support
COVID-19,0.9568181818181818,0.9633867276887872,0.9600912200684151,437.0
Non-COVID,0.8820754716981132,0.8538812785388128,0.8677494199535962,219.0
Normal,0.8693693693693694,0.8853211009174312,0.8772727272727273,218.0
accuracy,0.9164759725400458,0.9164759725400458,0.9164759725400458,0.9164759725400458
macro avg,0.9027543409618882,0.9008630357150104,0.9017044557649129,874.0
weighted avg,0.9162775701132205,0.9164759725400458,0.9162956987244731,874.0
