,precision,recall,f1-score,support
COVID-19,0.8813953488372093,0.8672768878718535,0.8742791234140714,437.0
Non-COVID,0.8125,0.6529680365296804,0.7240506329113925,219.0
Normal,0.7276119402985075,0.8944954128440367,0.802469135802469,218.0
accuracy,0.8203661327231121,0.8203661327231121,0.8203661327231121,0.8203661327231121
macro avg,0.8071690963785723,0.8049134457485235,0.8002662973759777,874.0
weighted avg,0.8257742224564475,0.8203661327231121,0.8187246420417419,874.0
