,precision,recall,f1-score,support
COVID-19,0.8562367864693446,0.9267734553775744,0.8901098901098903,437.0
Non-COVID,0.7105263157894737,0.6164383561643836,0.6601466992665037,219.0
Normal,0.8104265402843602,0.7844036697247706,0.7972027972027972,218.0
accuracy,0.8135011441647597,0.8135011441647597,0.8135011441647597,0.8135011441647597
macro avg,0.7923965475143927,0.7758718270889094,0.7824864621930637,874.0
weighted avg,0.8082994560949528,0.8135011441647597,0.8093139117935882,874.0
