model,split,accuracy,precision_macro,recall_macro,f1_macro
knn,Test,0.7311212814645309,0.7338601185467094,0.6805557592629926,0.6953038530467385
random_forest,Test,0.7196796338672768,0.7804445390582654,0.6409538831606358,0.6617237856570378
svm_rbf,Test,0.8123569794050344,0.8125783407485311,0.7758753260637099,0.7891928495182562
knn,Val,0.7201834862385321,0.7215454907983833,0.6697247706422019,0.6836980738335284
random_forest,Val,0.7213302752293578,0.784851159600545,0.6429663608562691,0.6639467793635593
svm_rbf,Val,0.786697247706422,0.7710045303807392,0.7469418960244648,0.755910788101009
