model,accuracy,precision_macro,recall_macro,f1_macro
SVM-RBF,0.8123569794050344,0.8125783407485311,0.7758753260637099,0.7891928495182562
kNN,0.7311212814645309,0.7338601185467094,0.6805557592629926,0.6953038530467385
RandomForest,0.7196796338672768,0.7804445390582654,0.6409538831606358,0.6617237856570378
