,precision,recall,f1-score,support
COVID-19,0.8016877637130801,0.8695652173913043,0.8342480790340285,437.0
Non-COVID,0.7117117117117117,0.3607305936073059,0.47878787878787876,219.0
Normal,0.5813148788927336,0.7706422018348624,0.6627218934911243,218.0
accuracy,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826
macro avg,0.6982381181058418,0.6669793376111576,0.6585859504376772,874.0
weighted avg,0.724175127238097,0.717391304347826,0.7023962571778959,874.0
