,precision,recall,f1-score,support
COVID-19,0.7939698492462312,0.7231121281464531,0.7568862275449102,437.0
Non-COVID,0.6047619047619047,0.5799086757990868,0.5920745920745921,219.0
Normal,0.5864661654135338,0.7155963302752294,0.6446280991735537,218.0
accuracy,0.6853546910755148,0.6853546910755148,0.6853546910755148,0.6853546910755148
macro avg,0.6617326398072233,0.6728723780735898,0.6645296395976854,874.0
weighted avg,0.6948024088370829,0.6853546910755148,0.6875887216490802,874.0
